"","x"
"1",-0.012235255
"2",-0.089747758
"3",-0.29549417
"4",-0.027468534
"5",-0.096434624
"6",-0.109079571
"7",-0.047962458
"8",-0.014469893
"9",-0.285569401
"10",-0.004506798
"11",0.122083692
"12",0.141496329
"13",-0.040703328
"14",0.029832153
"15",0.065316825
"16",-0.012864382
"17",0.148941665
"18",0.007607012
"19",-0.203861208
"20",-0.177486272
"21",0.035251884
"22",0.206451325
"23",0.02605906
"24",0.11584094
"25",-0.121123703
"26",-0.06118855
"27",-0.084971817
"28",0.166664033
"29",-0.007899733
"30",0.102921514
"31",-0.046352477
"32",0.013188629
"33",-0.027333827
"34",0.043071179
"35",0.093688159
"36",0.025558381
"37",-0.188602479
"38",-0.038707168
"39",0.190795808
"40",-0.000703902
"41",-0.039875777
"42",0.073582439
"43",-0.048992248
"44",-0.180692704
"45",-0.103040965
"46",-0.08854595
"47",0.019807725
"48",0.028921275
"49",0.123920231
"50",-0.190704675
"51",0.192726283
"52",-0.022113772
"53",-0.106196196
"54",-0.026755543
"55",0.208480506
"56",0.050203233
"57",0.411767988
"58",-0.14991662
"59",0.043211489
"60",0.035945086
"61",0.142360596
"62",0.001727967
"63",-0.021122368
"64",-0.023584635
"65",-0.000679465
"66",0.170445113
"67",-0.045098872
"68",-0.065323444
"69",0.01763299
"70",0.052427678
"71",0.040895252
"72",0.144280939
"73",-0.129528017
"74",0.144494562
"75",-0.142566712
"76",0.081926255
"77",-0.039482386
"78",-0.108323665
"79",0.007938294
"80",-0.055838199
"81",-0.003138633
"82",0.019446997
"83",-0.180815251
"84",0.162216215
"85",-0.108022244
"86",0.191611318
"87",-0.040441306
"88",-0.006245704
"89",-0.251982362
"90",-0.02509913
"91",0.106922655
"92",-0.141411812
"93",-0.056121142
"94",0.163686662
"95",0.341433554
"96",-0.011360021
"97",-0.162373693
"98",0.061262636
"99",-0.087342591
"100",0.06265202
"101",0.090699701
"102",-0.03341213
"103",0.089900284
"104",-0.373670371
"105",0.057172088
"106",-0.051501961
"107",-0.064159544
"108",-0.011649938
"109",0.212868123
"110",0.07970479
"111",-0.119552643
"112",0.097915201
"113",0.108902006
"114",-0.049448879
"115",-0.001884194
"116",-0.086850734
"117",0.040066628
"118",-0.015196116
"119",-0.00848505
"120",-0.181781085
"121",-0.074764462
"122",-0.042809816
"123",-0.053454192
"124",-0.103457661
"125",0.006163029
"126",-0.313856037
"127",0.009996085
"128",-0.074758144
"129",0.058138399
"130",-0.03194675
"131",0.050975351
"132",0.004029541
"133",0.027129202
"134",-0.190460296
"135",-0.01094851
"136",-0.378798576
"137",-0.117262335
"138",-0.054385455
"139",-0.084154041
"140",-0.138373406
"141",-0.054531903
"142",0.150585561
"143",0.207539706
"144",0.020326047
"145",0.069110303
"146",-0.052106114
"147",-0.022023053
"148",-0.0227125
"149",0.20266345
"150",-0.066677423
"151",0.037493853
"152",-0.11895922
"153",-0.069584103
"154",-0.254019828
"155",-0.072563381
"156",-0.082290621
"157",0.043140797
