"","x"
"1",0.087324031
"2",0.075165995
"3",0.101048716
"4",0.002181061
"5",-0.074705891
"6",0.17605377
"7",0.283711084
"8",0.142658003
"9",0.010249861
"10",-0.109747998
"11",0.049190529
"12",0.109915384
"13",-0.090246431
"14",-0.048116914
"15",-0.057848386
"16",-0.045983545
"17",0.062264331
"18",-0.078143231
"19",0.04938639
"20",-0.127312414
"21",-0.118735306
"22",-0.026436977
"23",-0.06804239
"24",-0.219789914
"25",0.017478236
"26",0.042852886
"27",0.163411506
"28",-0.031851701
"29",0.077671893
"30",-0.006681017
"31",0.166981347
"32",0.114335187
"33",0.103752263
"34",0.135902293
"35",-0.073420517
"36",0.032921918
"37",0.066251286
"38",0.018896468
"39",0.091319211
"40",0.014624604
"41",0.063639649
"42",-0.01930993
"43",0.018624671
"44",0.110793002
"45",-0.019436948
"46",0.05495549
"47",-0.123011104
"48",0.037631877
"49",-0.079638056
"50",0.112311133
"51",-0.017538897
"52",0.059634097
"53",-0.229627125
"54",-0.014097563
"55",0.020866283
"56",-0.736238114
"57",0.079863795
"58",0.029442676
"59",-0.081769637
"60",-0.021035067
"61",-0.14275109
"62",0.254772552
"63",0.098976978
"64",-0.111263029
"65",0.036346443
"66",-0.384695641
"67",-0.057431511
"68",0.042902835
"69",0.016268023
"70",0.015752919
"71",0.012171396
"72",0.063117168
"73",0.08577492
"74",-0.014184691
"75",-0.060693421
"76",-0.06330017
"77",-0.012697913
"78",0.009312294
"79",0.065995358
"80",-0.013555624
"81",-0.097749152
"82",-0.03714595
"83",-0.05233673
"84",0.005686901
"85",0.154083155
"86",-0.111425378
"87",0.017825625
"88",-0.044170238
"89",0.08670666
"90",-0.037905641
"91",0.046326778
"92",0.043717645
"93",0.035616658
"94",-0.147613742
"95",0.022443793
"96",0.167367957
"97",0.005860827
"98",0.004213117
"99",0.025624655
"100",-0.003034093
"101",-0.007185795
"102",-0.087552704
"103",-0.081730761
"104",-0.027775385
"105",0.006899677
"106",-0.039557077
"107",-0.00026355
"108",0.024016641
"109",0.148393176
"110",-0.006617524
"111",-0.040108122
"112",0.012280844
"113",-0.10271702
"114",-0.024820425
"115",-0.232870557
"116",-0.0568733
"117",0.186627172
"118",0.034228108
"119",0.030292652
"120",0.014163278
"121",-0.032894917
"122",-0.070626356
"123",-0.078214385
"124",0.004208468
"125",-0.081620731
"126",-0.118735649
"127",0.173913143
"128",-0.011891224
"129",0.007910035
"130",-0.154156484
"131",0.070545576
"132",0.117838882
"133",0.0375228745
"134",0.032698892
"135",0.06851115
"136",-0.018464543
"137",-0.012604811
"138",-0.053665199
"139",0.148908637
"140",-0.071487166
"141",-0.072334387
"142",-0.00261698
"143",-0.271068432
"144",-0.002194263
"145",0.066182516
"146",-0.045487859
"147",0.023710511
"148",-0.086647012
"149",0.094546578
"150",0.049017213
"151",-0.110451557
"152",-0.053090074
"153",-0.140722849
"154",0.154516957
"155",-0.409406521
"156",0.027870081
"157",0.088202498
"158",-0.054885962
"159",0.006899677
"160",0.01397898
"161",0.011411093
"162",0.010293506
"163",0.09623494
"164",0.086908124
"165",0.030918501
"166",0.163582228
"167",-0.222280004
"168",0.202470205
"169",0.028247021
"170",-0.019678809
"171",-0.036660649
