"","x"
"1",0.344459423
"2",-0.133779398
"3",0.584608682
"4",0.026845106
"5",0.10686005
"6",-0.041902296
"7",1.559568056
"8",0.384725102
"9",-0.120255462
"10",0.02071441
"11",0.105429538
"12",0.062506088
"13",0.084223398
"14",0.0100993
"15",1.360673555
"16",1.036780485
"17",0.190576919
"18",0.03907431
"19",0.567596563
"20",0.773336061
"21",0.077723631
"22",-0.023013226
"23",-0.005743138
"24",0.475326427
"25",0.005491384
"26",0.132283577
"27",1.139755376
"28",0.324627408
"29",0.078129419
"30",1.325938829
"31",-0.126581899
"32",-0.013486854
"33",-0.032126538
"34",-0.157747618
"35",1.009747871
"36",-0.034030548
"37",0.176845678
"38",-0.065486065
"39",-0.364441804
"40",0.065837272
"41",-0.18147581
"42",-0.408194176
"43",-0.156377307
"44",-0.096680991
"45",-0.12460827
"46",0.402787098
"47",-0.021478764
"48",-0.067197911
"49",1.447872766
"50",0.106090911
"51",-0.128007285
"52",0.176375397
"53",0.042254099
"54",1.267611631
"55",0.010817774
"56",-0.000708333
"57",-0.020445577
"58",0.185508617
"59",0.334306367
"60",-0.034627072
"61",-0.07439541
"62",-0.075324646
"63",1.749667772
"64",-0.271473042
"65",0.477881321
"66",-0.232490889
"67",0.768961319
"68",-0.073007099
"69",-0.123100392
"70",-0.09787666
"71",0.006889471
"72",1.271508344
"73",0.352706083
"74",-0.061860434
"75",-0.308234326
"76",-0.252936176
"77",0.168742546
"78",0.009653934
"79",0.266166576
"80",0.210899242
"81",0.334889778
"82",-0.050976268
"83",1.144561895
"84",0.015768298
"85",0.482600578
"86",-0.095656506
"87",-0.110203973
"88",0.111530908
"89",0.364545234
"90",0.047601827
"91",0.183527835
"92",-0.119246951
"93",0.295622953
"94",0.134562143
"95",0.3211701
"96",0.055603632
"97",-0.021982542
"98",-0.087298862
"99",-0.087350599
"100",-0.355554692
"101",0.635299095
"102",-0.001367561
"103",0.175461897
"104",-0.162051789
"105",0.016007551
"106",-0.035344592
"107",0.230624922
"108",0.418466338
"109",0.003341445
"110",0.179902681
"111",-0.082516781
"112",0.20679427
"113",0.153535017
"114",0.012872823
"115",0.054650196
"116",-0.042324058
"117",0.090279707
"118",-0.138225547
"119",1.221553453
"120",0.281875738
"121",-0.360651127
"122",-0.022431604
"123",-0.014771334
"124",0.616351613
"125",-0.13587474
"126",-0.496271721
"127",0.141270765
"128",0.134737738
"129",0.021521338
"130",-0.18862789
"131",0.267174133
"132",1.025256284
"133",-0.012839667
"134",0.320606598
"135",0.096765169
"136",-0.218008093
"137",-0.163621119
"138",0.051818498
"139",0.59555138
"140",-0.124063722
"141",0.245145925
"142",0.094966301
"143",-0.070488326
"144",-0.167741529
