"","x"
"1",0.004451807
"2",-0.055289094
"3",0.212600048
"4",0.051562364
"5",0.250966723
"6",0.000683601
"7",0.132081325
"8",-0.112841909
"9",-0.040834372
"10",0.235329445
"11",-0.09851176
"12",0.137707765
"13",0.325711067
"14",0.016267832
"15",-0.065800373
"16",0.042473252
"17",-0.000799958
"18",0.082185443
"19",0.132064278
"20",0.004762228
"21",0.116170819
"22",-0.078741376
"23",-0.178132002
"24",-0.127328341
"25",-0.143190806
"26",-0.012268488
"27",0.172883566
"28",-0.014893119
"29",0.067662056
"30",0.029142435
"31",0.099156077
"32",-0.026598041
"33",0.047442849
"34",0.02894419
"35",0.128742273
"36",-0.196309809
"37",0.084379132
"38",0.16548055
"39",0.137335832
"40",0.1313253
"41",-0.13216043
"42",0.205892141
"43",-0.066585247
"44",-0.187053745
"45",0.00170439
"46",0.083078916
"47",-0.05230159
"48",0.229762013
"49",0.056572135
"50",-0.187328403
"51",0.055566604
"52",-0.042277639
"53",0.206039722
"54",-0.139789049
"55",0.008470113
"56",0.276605065
"57",-0.012677138
"58",-0.070581023
"59",-0.118469302
"60",0.02492934
"61",-0.105507557
"62",-0.059583251
"63",-0.113298123
"64",0.166452224
"65",-0.053758566
"66",-0.008790319
"67",0.070056017
"68",0.030368622
"69",0.101653393
"70",0.083660777
"71",-0.046122019
"72",-0.032653158
"73",-0.140906517
"74",-0.090024655
"75",0.059531267
"76",0.135948236
"77",0.038674171
"78",0.157997425
"79",0.049262936
"80",0.119802649
"81",0.043686683
"82",0.149682815
"83",0.002234514
"84",-0.026667778
"85",0.045621808
"86",-0.067886774
"87",0.224296863
"88",0.183122928
"89",-0.019574468
"90",0.667688425
"91",0.084723408
"92",-0.069441025
"93",0.000115211
"94",0.061563428
"95",0.027782972
"96",-0.092849676
"97",-0.089803045
"98",0.045171197
"99",-0.087097947
"100",-0.002337878
"101",0.13669544
"102",-0.120090072
"103",0.086656149
"104",0.045108373
"105",0.108694728
"106",0.203948791
"107",0.047948535
"108",-0.005821054
"109",0.177797015
"110",0.062791999
"111",0.028006489
"112",0.111785467
"113",-0.003806059
"114",-0.142558162
"115",-0.107924168
"116",0.226421292
"117",0.05030268
"118",-0.076426809
"119",-0.003996556
"120",0.112172778
"121",0.099279936
"122",0.041603739
"123",0.062274749
"124",-0.010949795
"125",0.022442634
"126",0.034666593
"127",-0.127511089
"128",-0.097636287
"129",-0.046063368
"130",-0.012754862
"131",-0.027559821
"132",-0.046790545
"133",0.008698876
"134",0.158416326
"135",-0.020414536
"136",0.11258095
"137",0.342705305
"138",0.028521712
"139",-0.045444672
"140",0.157564099
"141",-0.028011386
"142",-0.061798637
"143",0.066434438
"144",-0.024047558
"145",0.043666656
"146",-0.181402747
"147",0.015288527
"148",-0.02300996
"149",-0.060426538
"150",-0.074132864
"151",-0.105700676
"152",-0.094515865
"153",-0.113221829
"154",-0.058484976
"155",0.040583666
"156",-0.036408965
"157",0.04619282
"158",0.15396529
"159",0.068731721
"160",-0.051777069
"161",0.143073852
"162",0.495382602
"163",-0.047868197
"164",-0.025104468
"165",0.064419325
"166",0.110602195
"167",0.039693053
"168",0.092675741
"169",0.020165618
"170",-0.029296343
"171",-0.173992221
"172",-0.132757787
"173",-0.073868458
"174",0.091855223
"175",0.011617
"176",0.059047158
"177",-0.023153846
"178",-0.215998595
"179",-0.013969605
"180",0.081257398
"181",0.18575948
"182",0.046819504
"183",0.102643664
"184",0.004963334
"185",-0.084171002
"186",-0.142620389
"187",0.949514444
"188",-0.031311815
"189",0.051810796
"190",0.133777912
"191",0.065807874
"192",0.110271986
"193",-0.004496043
"194",0.09402376
"195",-0.003513877
"196",-0.070143525
"197",-0.047474091
"198",0.103199775
"199",0.116905267
"200",0.024263675
"201",0.032134469
"202",-0.06914026
"203",-0.123615925
"204",-0.060096209
"205",0.277546222
"206",0.145893033
"207",-0.070237582
"208",-0.114739005
"209",-0.164509182
"210",0.058625753
"211",-0.125752513
"212",0.009456451
"213",0.336401637
"214",-0.118162458
"215",-0.074229901
"216",-0.15197665
"217",-0.075683658
"218",-0.184764747
"219",0.137716229
"220",-0.070082013
"221",0.094868238
"222",-0.029050295
"223",-0.037770812
"224",-0.088467304
"225",0.007192905
"226",-0.063105171
"227",0.016339715
"228",-0.003784363
"229",0.238424952
"230",-0.159475152
"231",-0.056054179
"232",0.034662898
