"","x"
"1",-0.079987499
"2",0.230089215
"3",0.01092842
"4",-0.069288227
"5",-0.263684842
"6",-0.112705859
"7",-0.028265211
"8",-0.070199701
"9",-0.01023874
"10",-0.044983598
"11",-0.064059826
"12",0.0731931
"13",0.036110428
"14",0.158038166
"15",-0.0951781
"16",-0.144615802
"17",0.107947257
"18",0.288136867
"19",-0.028583976
"20",0.034756926
"21",-0.014798018
"22",0.056083468
"23",0.128594902
"24",-0.076828333
"25",-0.080277058
"26",0.051809934
"27",0.106509713
"28",-0.07998726
"29",0.137286571
"30",0.020990876
"31",0.148082999
"32",0.058147577
"33",-0.029176089
"34",0.016877678
"35",-0.081487152
"36",0.087181595
"37",-0.033903333
"38",0.12649515
"39",0.123869923
"40",-0.0780575
"41",-0.169240567
"42",0.001759318
"43",0.061991003
"44",0.074758318
"45",-0.131344232
"46",-0.00500414
"47",0.081456688
"48",-0.060158106
"49",-0.116173359
"50",0.266176489
"51",0.242347506
"52",0.242736367
"53",-0.120551499
"54",-0.025102111
"55",0.148042825
"56",0.014853147
"57",0.231390384
"58",-0.060868355
"59",-0.117817077
"60",-0.033575269
"61",0.101900366
"62",-0.331487152
"63",0.051829246
"64",-0.06261799
"65",0.125665692
"66",0.104575184
"67",0.201708821
"68",-0.047423932
"69",0.086094287
"70",0.01293352
"71",-0.284612152
"72",0.201904682
"73",0.000613955
"74",-0.079204055
"75",-0.0843232
"76",-0.008545968
"77",0.083475259
"78",-0.10709736
"79",0.148288277
"80",0.130888489
"81",0.007923034
"82",0.11792436
"83",-0.094830307
"84",-0.019709918
"85",-0.010058614
"86",-0.033151242
"87",0.090450552
"88",0.010024694
"89",0.077966598
"90",-0.037080022
"91",0.029997734
"92",-0.054565403
"93",-0.197614762
"94",0.045593766
"95",-0.015386077
"96",0.183987406
"97",-0.080317113
"98",-0.081487152
"99",-0.049991461
"100",-0.193583044
"101",0.117137102
"102",0.029014734
"103",0.068231133
"104",0.105239061
"105",0.182294038
"106",-0.062274071
"107",0.259480384
"108",-0.172065231
"109",0.234326628
"110",-0.003531906
"111",-0.086044702
"112",0.11544874
"113",0.072812346
"114",0.376828221
"115",0.210365084
"116",-0.021852347
"117",-0.001655194
"118",-0.107781443
"119",0.029201058
"120",-0.031435343
"121",-0.01557872
"122",-0.270354959
"123",-0.060891482
"124",0.157483486
"125",-0.078576776
"126",0.094882158
"127",-0.002553555
"128",-0.053696605
"129",0.048247364
"130",0.013160971
"131",-0.202365014
"132",-0.259971949
"133",0.226978568
"134",-0.026810619
"135",0.017786411
"136",-0.113801631
"137",0.020169762
"138",-0.012214753
"139",-0.083310637
"140",-0.207032236
"141",0.004300741
"142",0.207665351
"143",0.020243553
"144",-0.173565599
"145",0.043072489
"146",-0.112811002
"147",-0.177455279
"148",0.01044896
"149",-0.003512832
"150",0.027984289
"151",0.05349162
"152",0.308408287
"153",0.142250923
"154",0.057171491
"155",0.261944798
"156",-0.022087547
"157",-0.062020394
"158",0.176652339
"159",0.350559977
"160",0.068988112
"161",-0.02651796
"162",0.198745755
"163",0.008902458
"164",-0.076217863
"165",0.101513413
"166",0.063983825
"167",-0.043962452
"168",-0.062374803
"169",0.048588899
"170",-0.024397465
"171",-0.059430453
"172",-0.010385129
"173",0.061494378
"174",0.00468531
"175",-0.059328887
"176",-0.022199365
"177",0.185895351
"178",-0.113359663
"179",0.141022352
"180",0.048817781
"181",-0.063109967
"182",0.064689425
"183",0.004432705
"184",-0.233319613
"185",-0.054174158
"186",-0.057867261
"187",0.266086725
"188",0.067095664
"189",0.003349451
"190",0.010285405
"191",0.099432019
"192",0.066146758
"193",0.141653326
"194",0.011993435
"195",0.031733182
"196",0.326790718
"197",-0.082443389
"198",-0.026601168
"199",0.101432589
"200",0.013107446
"201",-0.090818199
"202",-0.027587983
"203",0.606539873
"204",0.237050799
"205",-0.018378946
"206",0.086573032
"207",-0.116439494
"208",-0.100298854
"209",-0.029959413
"210",0.1930311
"211",0.006087688
"212",0.006456164
"213",-0.115551921
"214",0.067087439
"215",-0.118188652
"216",0.154366043
"217",0.147288826
"218",0.466212538
"219",0.053608564
"220",-0.203032347
"221",0.053602603
"222",-0.0411087
"223",0.090245512
"224",-0.062210652
"225",-0.126706335
"226",0.147618082
"227",0.029761103
"228",0.047925261
"229",-0.186046335
"230",0.026166943
"231",-0.001333329
"232",-0.083189937
"233",-0.096874806
"234",-0.071206185
"235",0.101219085
"236",-0.139432761
"237",-0.042256447
"238",0.080985931
"239",0.484234837
"240",0.179767993
"241",0.017853168
"242",0.022046832
"243",-0.136732551
"244",-0.089720222
"245",-0.065839979
"246",-0.009093258
"247",0.069530395
"248",0.012982872
"249",0.134284047
"250",-0.056203219
"251",-0.045509311
"252",-0.045299384
"253",-0.067461225
"254",-0.080365988
"255",-0.067134353
"256",-0.054921719
"257",-0.000235411
"258",0.037001041
"259",0.060702351
"260",-0.002539846
"261",0.120449928
"262",0.141064075
"263",0.02123299
"264",-0.149452123
"265",0.064816383
"266",0.095163372
"267",0.067293313
"268",0.15053716
"269",-0.007607433
"270",-0.082175168
"271",0.076889065
"272",-0.064552399
"273",0.004834321
"274",0.117397693
"275",0.134624389
"276",-0.11846033
"277",0.018249896
"278",0.155978945
"279",-0.158163878
"280",-0.143648538
"281",0.03425279
"282",0.082113651
"283",-0.119787845
"284",0.093429831
"285",0.09178367
"286",-0.093003782
"287",0.090271023
"288",-0.053473446
"289",-0.037241909
"290",0.112636712
"291",0.114800957
"292",-0.001745316
"293",0.157660154
"294",-0.073375436
"295",0.04960337
"296",-0.171749922
"297",-0.062981578
"298",0.216359404
"299",-0.025983664
"300",-0.110157105
"301",-0.01871762
"302",-0.018620941
"303",0.007584241
"304",0.039231923
"305",-0.016793462
"306",-0.053080412
"307",-0.082294437
"308",0.08381429
"309",-0.066921207
"310",0.425519493
"311",0.018795398
"312",0.011647848
"313",-0.061443302
"314",-0.007795545
"315",0.00545111
"316",-0.032695862
"317",-0.010783407
"318",0.541712907
"319",0.04956868
"320",0.03430548
"321",0.097970751
"322",-0.177296492
"323",0.151913193
"324",0.056023744
"325",-0.194134685
"326",-0.107865068
"327",0.057066587
"328",0.058347371
"329",-0.06295726
"330",-0.014002534
"331",-0.056355688
"332",-0.207784745
"333",-0.208615455
"334",-0.261278841
"335",-0.010619375
"336",0.110654381
"337",-0.084772619
"338",0.144319204
"339",0.111382273
"340",0.126518753
"341",0.075484184
"342",-0.124758813
"343",0.142710236
"344",0.057116178
"345",0.055322317
"346",-0.061139556
"347",0.096733836
"348",-0.072987053
"349",0.265274909
"350",0.096958903
"351",-0.043415162
"352",0.161666659
"353",-0.044928404
"354",0.060744313
"355",-0.171266827
"356",0.051657346
"357",-0.12209526
"358",0.198884753
"359",0.108784107
"360",-0.001780244
"361",0.173512009
"362",0.210327772
"363",0.013017324
"364",-0.064203831
"365",0.016043213
"366",0.129067806
"367",0.041384366
"368",-0.023932191
"369",-0.067346188
"370",0.102604535
"371",-0.096207413
"372",0.056694058
"373",0.138315109
"374",-0.04815385
"375",0.043834713
"376",-0.108812543
"377",0.060031799
"378",-0.236579749
"379",-0.141367349
"380",-0.060644242
"381",-0.093711051
"382",0.236342338
"383",-0.097908649
"384",0.000187782
"385",0.111825136
"386",-0.079290601
"387",0.036707667
"388",-0.078667971
"389",-0.02103481
"390",0.209886936
"391",-0.056815597
"392",-0.104516121
"393",0.073037175
"394",-0.130866262
"395",0.058129457
"396",0.12367442
"397",0.036374
"398",-0.073222729
"399",0.054417518
"400",-0.019241902
"401",0.093062786
"402",-0.159106883
"403",-0.055671903
"404",-0.120685789
"405",-0.118841025
"406",-0.101907822
"407",-0.02646062
"408",-0.003871295
"409",-0.327282938
"410",0.323679832
"411",-0.099692318
"412",0.165214685
"413",0.517713693
"414",0.222434429
"415",-0.075057122
"416",-0.087039265
"417",0.123930481
"418",0.008958248
"419",0.077405837
"420",-0.09559265
"421",-0.018029782
"422",0.135570076
"423",0.07326701
"424",-0.122327003
"425",0.046041993
"426",-0.093893501
"427",-0.129204663
"428",-0.226495656
"429",-0.131765279
"430",-0.025435897
"431",-0.048238846
"432",0.053765205
"433",-0.012403461
"434",-0.223794314
"435",0.085714844
"436",-0.021914813
"437",-0.018119904
"438",0.090311674
"439",-0.043128463
"440",-0.008637401
"441",0.013674167
"442",-0.056292626
"443",-0.032450291
"444",0.069733528
"445",0.349781421
"446",0.059897211
"447",0.019241718
"448",-0.002192589
"449",0.538281706
"450",-0.012848112
"451",0.053237227
"452",0.110122946
"453",-0.000440332
"454",0.080628899
"455",-0.096813115
"456",0.133525875
"457",-0.038749191
"458",-0.20502505
"459",-0.049375269
"460",0.229456333
"461",0.020593432
"462",0.049370316
"463",-0.06210384
"464",0.055124787
"465",-0.038914653
"466",0.075895098
"467",0.062994269
"468",-0.014134261
"469",-0.004398319
"470",-0.012664529
"471",0.032538322
"472",0.014000801
"473",0.086390046
"474",-0.02525756
"475",-0.004167172
"476",-0.145206603
"477",-0.080030414
"478",0.122365144
"479",0.271423963
"480",-0.079027387
"481",0.069903639
"482",0.027470377
"483",-0.070113751
"484",0.206473735
"485",0.228840378
"486",0.091517118
"487",0.062102583
"488",-0.1319159
"489",-0.104977104
"490",0.157509592
"491",-0.093121382
"492",0.005660561
"493",-0.020233604
"494",0.412024525
"495",0.1371254
"496",0.471627024
"497",0.137671736
"498",0.000111726
"499",-0.043919298
"500",-0.015530559
"501",-0.016462061
"502",-0.094959172
"503",-0.199069354
"504",-0.051683995
"505",-0.089537891
"506",0.00258818
"507",0.04144862
"508",-0.041015836
"509",0.012972144
"510",0.005220083
"511",0.209050921
"512",0.019436267
"513",0.020421532
"514",0.003270176
"515",0.207326916
"516",0.134987858
"517",0.022947219
"518",0.071304229
"519",0.160653857
"520",-0.089571747
"521",0.098228601
"522",0.061051277
"523",-0.068671199
"524",-0.071230742
"525",-0.001607033
"526",-0.096990975
"527",0.026008514
"528",-0.28915641
"529",-0.106104764
"530",0.025449303
"531",-0.03597376
"532",-0.096483025
"533",-0.011882397
"534",0.074831394
"535",0.133615044
"536",0.098098663
"537",0.031934765
"538",-0.078595254
"539",-0.013218137
"540",0.004958657
"541",0.018390802
"542",-0.033336374
"543",-0.172264787
"544",0.02119532
"545",-0.123280558
"546",0.116610554
"547",0.137287048
"548",0.055613426
"549",-0.011453959
"550",0.02352455
"551",0.179222253
"552",0.052686003
"553",0.080225137
"554",-0.120617661
"555",-0.026867839
"556",-0.252207789
"557",0.021256236
"558",0.000770238
"559",0.130212334
"560",0.108695653
"561",0.07575014
"562",0.145274666
