"","x"
"1",-0.008621971
"2",-0.104949634
"3",0.177404125
"4",0.316404779
"5",-0.037230293
"6",-0.245583694
"7",0.18409725
"8",0.047562321
"9",0.044870456
"10",0.073750217
"11",0.274877627
"12",-0.07310764
"13",0.324168523
"14",0.011762221
"15",0.20169874
"16",0.01296099
"17",0.117279847
"18",-0.261429231
"19",0.136788686
"20",-0.042375486
"21",0.255712469
"22",0.570628722
"23",0.109957774
"24",0.188428958
"25",0.040689309
"26",0.118727882
"27",0.237397154
"28",0.065697749
"29",0.246557315
"30",0.203872044
"31",0.253721912
"32",-0.182919304
"33",0.126274665
"34",0.077539046
"35",0.04861625
"36",-0.128666382
"37",-0.046551387
"38",0.181964476
"39",0.236994226
"40",0.241348584
"41",-0.176644544
"42",0.248622735
"43",-0.101208608
"44",-0.03568093
"45",0.862905104
"46",-0.091890018
"47",-0.232516448
"48",0.148993213
"49",-0.021419923
"50",0.158927639
"51",0.047578533
"52",-0.025958578
"53",0.226935704
"54",0.027415474
"55",-0.216804425
"56",0.032520612
"57",0.126238664
"58",0.145903786
"59",-0.258127014
"60",0.016690929
"61",-0.247897665
"62",-0.078303854
"63",0.005651672
"64",0.022919972
"65",0.034225066
"66",0.182618459
"67",0.108963569
"68",0.04852577
"69",0.211791833
"70",-0.051290672
"71",-0.661486189
"72",0.021520694
"73",0.242191513
"74",0.103937586
"75",0.118833382
"76",-0.146495263
"77",0.229759653
"78",-0.110692064
"79",0.092777093
"80",0.103608926
"81",-0.046410839
"82",-0.035895745
"83",0.667989571
"84",-0.082545321
"85",0.060049374
"86",0.327483018
"87",-0.06894211
"88",-0.103097241
"89",-0.591242473
"90",-0.005271952
"91",-0.057122271
"92",-0.267853241
"93",0.008250315
"94",-0.208318631
"95",-0.032939593
"96",0.000300725
"97",-0.050985496
"98",-0.001902263
"99",0.203619321
"100",-0.121439497
"101",0.035058816
"102",0.022975047
"103",-0.122697394
"104",-0.170520703
"105",-0.068277876
"106",-0.011057298
"107",0.030669172
"108",1.528041203
"109",-0.212410311
"110",0.041545828
"111",-0.435149233
"112",0.008665641
"113",-0.163725536
"114",-0.090861122
"115",0.030056794
"116",0.126409848
"117",-0.014714639
"118",0.306004961
"119",0.163617332
"120",0.068489392
"121",0.113759954
"122",0.138584454
"123",0.023251851
"124",-0.087597768
"125",0.113438089
"126",0.125955184
"127",0.206692298
"128",0.075986464
"129",-0.07033972
"130",-0.135140757
"131",0.117181499
"132",-0.154188733
"133",0.255114754
"134",0.060549457
"135",0.267374356
"136",0.079419692
"137",0.099582513
"138",0.020533641
"139",0.118894894
"140",0.19121023
"141",-0.018542688
"142",-0.107328455
"143",0.001644452
"144",0.017249186
"145",0.057421286
"146",-0.105804007
"147",0.050177653
"148",0.164607365
"149",0.019512852
"150",0.177334268
"151",0.207933863
"152",-0.046360533
"153",0.098425348
"154",0.034246166
"155",0.263682444
"156",-0.092538397
"157",-0.094322006
"158",-0.104038636
"159",0.043052156
"160",-0.112449925
"161",-0.075794379
"162",0.211675246
"163",0.15750571
"164",-0.071559946
"165",0.21820565
"166",-0.077852885
"167",-0.000745217
"168",0.11214443
"169",0.13079818
"170",-0.110987823
"171",-0.200865607
"172",0.11117204
"173",-0.055740397
"174",-0.036180775
"175",0.336478312
"176",0.015720923
"177",-0.09629194
"178",0.201341589
"179",-0.392994623
"180",0.17323931
"181",0.004499514
"182",0.188860019
"183",-0.098180096
"184",-0.14561979
"185",-0.085776131
"186",0.097312768
"187",-0.675943713
"188",-0.163999538
"189",-0.08177499
"190",-0.013771693
"191",0.025738437
"192",0.134494384
"193",-0.111943762
"194",0.146760066
"195",0.130008538
"196",0.042397697
"197",-0.22877423
"198",0.076370437
"199",0.185732324
"200",-0.121282141
"201",-0.093097369
"202",0.091910322
"203",-0.159833471
"204",0.282379945
"205",-0.049804489
"206",-0.041228573
"207",0.081242163
"208",0.027657469
"209",-0.115251939
"210",0.157528956
"211",-0.096454661
"212",-0.297132532
"213",0.324380358
"214",0.102372248
"215",-0.157544474
"216",-0.107461016
"217",0.257291277
"218",0.286235531
"219",0.18333741
"220",0.088067253
"221",-0.196978609
"222",0.158788283
"223",0.146133621
"224",0.106427868
"225",-0.042455117
"226",0.106503208
"227",0.155834396
"228",-0.02729706
"229",0.095978697
"230",-0.161886553
"231",0.325290997
"232",0.176564534
"233",-0.210334758
"234",0.81318291
"235",-0.089131992
"236",0.225330193
"237",-0.044642608
"238",0.084587415
"239",0.05300041
"240",0.414606054
"241",-0.340550821
"242",-0.05702738
"243",-0.126693527
"244",-0.166891257
"245",0.038593014
"246",-0.088355343
"247",-0.164917092
"248",0.077768286
"249",-0.442264955
"250",-0.142356674
"251",-0.018337648
"252",0.163484891
"253",-0.121468167
"254",0.12536021
"255",-0.051567356
"256",0.482647498
"257",0.163506468
"258",-0.197913568
"259",-0.178227346
"260",0.035720785
"261",0.097932895
"262",0.483022769
"263",-0.130126636
"264",0.032955606
"265",0.068821032
