"","x"
"1",-0.182316981
"2",0.125684358
"3",-0.233358823
"4",-0.150673054
"5",0.000900365
"6",-0.000255965
"7",-0.120427988
"8",-0.053676508
"9",-0.266676687
"10",-0.12096753
"11",-0.177180253
"12",0.067148067
"13",-0.03620436
"14",-0.114570282
"15",-0.006428979
"16",-0.055755399
"17",0.021839119
"18",-0.094998024
"19",-0.601214431
"20",-0.215966903
"21",0.144317128
"22",-0.119115733
"23",-0.009115718
"24",0.025640465
"25",0.335834838
"26",0.030884363
"27",-0.229625903
"28",-0.006601475
"29",-0.438852511
"30",-0.204801939
"31",-0.184305333
"32",-0.106615566
"33",-0.294214688
"34",-0.011184953
"35",-0.014776014
"36",-0.135162614
"37",0.088662006
"38",0.031628944
"39",-0.082003377
"40",0.000118591
"41",0.012702562
"42",0.013122059
"43",-0.290502928
"44",-0.151468538
"45",-0.116571926
"46",-0.113700055
"47",0.046126224
"48",0.11853788
"49",-0.121594332
"50",-0.143486641
"51",-0.157880686
"52",0.045513131
"53",-0.140936039
"54",0.067373015
"55",-0.168928288
"56",0.067042448
"57",0.219150998
"58",0.102094151
"59",-0.011220954
"60",-0.028090023
"61",-0.129861496
"62",0.228639938
"63",0.118957855
"64",0.08888445
"65",-0.046878599
"66",0.069205262
"67",-0.174366914
"68",-0.132380985
"69",0.138831474
"70",0.213600256
"71",-0.153570078
"72",0.111909248
"73",0.127784945
"74",0.285429813
"75",0.068637706
"76",0.107385375
"77",-0.11797931
"78",0.06061361
"79",-0.129280232
"80",-0.143548511
"81",-0.035494946
"82",-0.014533661
"83",0.135646202
"84",0.093413688
"85",-0.17284175
"86",0.02495835
"87",-0.069180153
"88",0.221509315
"89",0.053961255
"90",0.111829139
"91",-0.14831271
"92",-0.026721261
"93",-0.177946113
"94",0.195601918
"95",0.306408741
"96",0.166806914
"97",-0.262761198
"98",0.030287839
"99",0.352796651
"100",-0.081087492
"101",-0.17468264
"102",0.053126432
"103",-0.198101185
"104",-0.217391633
"105",-0.050182603
"106",0.117614843
"107",-0.188674353
"108",-0.474593423
"109",-0.229115628
"110",0.124020793
"111",0.184059478
"112",-0.111864708
"113",0.032660104
"114",-0.108973049
"115",-0.096134327
"116",0.048186995
"117",0.006533958
"118",-0.104576848
"119",-0.300410353
"120",-0.038353466
"121",-0.211735211
"122",-0.237956308
"123",-0.037984155
"124",0.074021198
"125",-0.03887286
"126",-0.048670076
"127",-0.007577203
"128",0.222569682
"129",0.08346162
"130",-0.047103189
"131",-0.017620228
"132",-0.123421215
"133",0.567483164
"134",0.066226102
"135",-0.101188801
"136",-0.162705444
"137",-0.133854292
"138",0.031426407
"139",-0.125160836
"140",0.081283905
"141",-0.073229931
"142",0.140708067
"143",-0.017108344
"144",-0.142377757
"145",-0.105986618
"146",0.004903652
"147",-0.014957212
"148",-0.224065207
"149",-0.131807946
"150",0.091688015
"151",-0.125485681
"152",-0.069953464
"153",-0.027050518
"154",-0.143308185
"155",-0.192240678
"156",0.189012386
"157",-0.179867036
"158",-0.151887424
"159",0.132401221
"160",0.569963687
"161",0.047066324
"162",0.106810563
"163",-0.048642046
"164",0.10761904
"165",-0.077459104
"166",0.089048975
"167",-0.006116159
"168",0.16954314
"169",0.167101496
"170",-0.083075649
"171",0.029219859
"172",-0.044994361
"173",-0.127375252
"174",0.047159904
"175",0.026157492
"176",-0.17174328
"177",0.775852674
"178",0.233379596
"179",-0.104590661
"180",-0.146675117
"181",0.031249397
"182",-0.026086933
"183",0.111258381
"184",-0.12477041
"185",0.148640745
"186",-0.032618172
"187",0.063204163
"188",0.07015621
"189",0.086483591
"190",0.47281348
"191",-0.199953682
"192",-0.058750875
"193",-0.207510359
"194",-0.322768635
"195",-0.138953692
"196",-0.009025819
"197",-0.095306165
"198",-0.233550972
"199",0.012271874
"200",0.176390403
"201",0.150512927
"202",0.228617781
"203",0.114954703
"204",-0.362066156
"205",0.092000359
"206",-0.09952975
"207",-0.161031611
"208",0.002280586
"209",-0.313221759
"210",-0.123143918
"211",0.269104832
"212",-0.133287079
"213",0.172309154
"214",-0.066529638
"215",-0.003606684
"216",-0.108868367
"217",-0.148760802
"218",-0.008932478
"219",-0.043562181
"220",0.337485903
"221",-0.01297415
"222",0.03630256
"223",-0.124249107
"224",-0.026763684
"225",0.29319691
"226",0.000326508
"227",0.202220195
"228",-0.062310822
"229",0.030601852
"230",0.287092917
"231",-0.023276336
"232",-0.172822125
"233",0.098768108
"234",-0.104383237
"235",0.075367325
"236",0.027860992
"237",0.223533743
"238",-0.170656807
"239",-0.273119337
"240",0.130940192
"241",0.083134525
"242",0.047567242
"243",-0.084705359
"244",-0.09935642
"245",0.202912562
"246",0.11067807
"247",0.200583928
"248",-0.031114227
"249",-0.004601604
"250",-0.389659352
"251",-0.239185698
"252",-0.060084826
"253",0.809661739
"254",0.086930626
"255",-0.009244926
"256",-0.594005711
"257",-0.236317343
"258",-0.16207493
"259",0.204731696
"260",-0.089564092
"261",0.072682374
"262",-0.125301368
"263",-0.054160244
"264",0.017643207
"265",0.030458801
"266",0.050450438
"267",0.09301471
"268",-0.214138038
"269",-0.30514831
"270",-0.005459435
"271",0.052584045
"272",0.843362205
"273",0.098123186
"274",0.119401329
"275",0.272523516
"276",-0.070066101
"277",0.150116079
"278",0.038301819
"279",-0.033677227
"280",-0.011349089
"281",-0.076485879
"282",-0.036892421
"283",-0.191420085
"284",-0.091892488
"285",0.385729545
"286",0.255775564
"287",0.071474903
"288",-0.276437706
"289",0.083634608
"290",0.127130263
"291",0.256568068
"292",0.247899168
"293",0.087012046
"294",-0.018135554
"295",-0.057551987
"296",0.216135734
"297",0.088934176
"298",-0.040565974
"299",-0.018135435
"300",-0.055375344
"301",-0.473926253
"302",0.067231052
"303",0.112718099
"304",0.177775615
"305",-0.016634709
"306",0.125627749
"307",-0.097300536
"308",-0.029222018
"309",-0.029740936
"310",-0.019046075
"311",0.141734713
"312",-0.049408323
"313",0.010774367
"314",-0.137453682
"315",-0.108172423
"316",0.222581499
"317",-0.178384907
"318",0.075908416
"319",-0.05533827
"320",0.026918643
"321",-0.144935257
"322",0.175932878
"323",0.489121907
"324",-0.047061092
"325",-0.135655529
"326",0.127777451
"327",-0.092886812
"328",0.04845404
"329",-0.210823245
"330",-0.027717239
"331",0.300046318
"332",-0.096592314
"333",0.001112454
"334",-0.0926323
"335",0.19215154
"336",-0.080557115
"337",-0.006677277
"338",0.161001318
"339",-0.074988372
"340",0.188647383
"341",-0.000888354
"342",-0.124953753
"343",0.049259179
"344",0.150734776
"345",0.267907255
"346",0.134586208
"347",0.174349182
"348",-0.017211921
"349",0.242354029
"350",-0.095708735
"351",-0.185821421
"352",-0.085020906
"353",-0.15330959
"354",0.684966915
"355",0.103046411
"356",-0.013386614
"357",-0.14799679
"358",0.142870658
"359",-0.070435769
"360",-0.136744983
"361",0.061489695
"362",0.031459921
"363",-0.28402657
"364",-0.094273812
"365",-0.048703677
"366",0.195879572
"367",-0.17789138
"368",0.173546308
"369",0.035430305
"370",-0.208674616
"371",0.055815571
"372",0.214192026
"373",0.118152254
"374",0.020235651
"375",-0.067083962
"376",-0.100498802
"377",-0.217095024
"378",0.091712945
"379",-0.004351861
"380",0.139207118
"381",0.103373759
"382",-0.077922232
"383",-0.087601311
"384",-0.304573245
"385",0.038417809
"386",-0.196571476
"387",0.169094079
"388",-0.094651348
"389",-0.169602282
"390",0.033716553
"391",-0.007645971
"392",0.005813592
"393",-0.052471644
"394",0.094689243
"395",-0.138982422
"396",-0.016259796
"397",0.155704492
"398",0.191798799
"399",-0.088446743
"400",0.114475482
"401",0.08351981
"402",-0.206158108
"403",0.066559904
"404",-0.162019021
"405",0.153171056
"406",-0.103354461
"407",0.623322242
"408",-0.022835977
"409",-0.043668873
"410",0.193419569
"411",-0.038237459
"412",0.08179509
"413",0.210109823
"414",0.071216219
"415",0.066013449
"416",0.205514544
"417",-0.035344607
"418",0.012444013
"419",-0.030429012
"420",0.238403075
"421",0.054711931
"422",-0.002846367
"423",-0.090730674
"424",0.442021721
"425",0.315988296
"426",-0.021477468
"427",0.294428342
"428",0.418751352
"429",0.011062615
"430",-0.102619893
"431",0.201320165
"432",-0.087506301
"433",-0.179772264
"434",0.202659958
"435",0.344990247
"436",-0.373030669
"437",-0.075081832
"438",0.685822242
"439",-0.091266162
"440",-0.071148521
"441",0.211528175
"442",0.026007765
"443",0.079031818
"444",-0.004778273
"445",0.240931981
"446",0.136814707
"447",-0.273573346
"448",-0.287986106
"449",0.099307411
"450",0.042301529
"451",-0.142782099
"452",0.026033395
"453",-0.114279634
"454",-0.155682928
"455",-0.082848436
"456",0.015255802
"457",-0.260432846
"458",0.143260711
"459",-0.045097715
"460",-0.084712989
"461",-0.159868128
"462",0.097669237
"463",0.070747011
"464",0.021285289
"465",-0.054499156
"466",0.171873682
"467",-0.057041652
"468",0.132728808
"469",-0.015717155
"470",0.013803833
"471",-0.08532334
"472",-0.218069679
"473",0.064091318
"474",-0.035704977
"475",0.149508708
"476",0.060046308
"477",-0.031927354
"478",-0.03896106
"479",-0.127256996
"480",-0.01880253
"481",0.062819951
"482",-0.187750942
"483",-0.11467529
"484",0.004351252
"485",0.119212859
"486",-0.049385554
"487",0.306762569
"488",-0.153067834
"489",-0.079953677
"490",0.036917203
"491",-0.132348067
"492",0.094619267
"493",0.04043185
"494",0.077232712
"495",-0.016823298
"496",-0.00149358
"497",-0.134159214
"498",0.083312505
"499",0.123975747
"500",0.083178752
"501",-0.186440236
"502",-0.110910065
"503",0.461271756
"504",0.276236647
"505",-0.151439673
"506",0.029277199
"507",0.012398475
"508",0.474305981
"509",-0.031199343
"510",-0.181518442
"511",-0.082153565
"512",-0.117998011
"513",-0.148673183
"514",0.033678525
"515",-0.030671246
"516",-0.234717316
"517",-0.205063171
"518",0.589161985
"519",-0.044141061
"520",0.114167445
"521",0.404213064
"522",-0.063767321
"523",-0.081489927
"524",-0.032103426
"525",-0.008338696
"526",-0.138506777
"527",-0.018525965
"528",0.553470963
"529",-0.080004341
"530",-0.068517692
"531",0.105928772
"532",0.229493015
"533",0.313238972
"534",0.100955956
"535",-0.208374745
"536",0.593524569
"537",-0.045458443
"538",0.075261229
"539",-0.284226841
"540",-0.085199601
"541",-0.06895972
"542",0.134920829
"543",-0.085729486
"544",-0.025651938
"545",0.09361481
"546",-0.14791835
"547",0.168935173
"548",-0.061794288
"549",0.049887531
"550",0.184661739
"551",0.16944527
"552",0.104394072
"553",0.194349163
"554",0.037690275
"555",0.148224466
"556",-0.068272597
"557",0.209694975
"558",-0.104827292
"559",-0.188912637
"560",-0.10741306
"561",-0.174440152
"562",-0.050475127
"563",-0.110947616
"564",-0.14701236
"565",0.101416224
"566",0.002307051
"567",0.073688858
"568",0.015938871
"569",-0.065348632
"570",0.122079247
"571",0.528046363
"572",-0.108224756
"573",0.078181379
"574",-0.052665598
"575",-0.042162187
"576",-0.385138876
"577",-0.178957469
"578",-0.027385122
"579",-0.116620428
"580",0.024225347
"581",-0.079264051
"582",-0.138336069
"583",0.124123567
"584",-0.130059607
"585",-0.233116931
"586",0.157853477
"587",-0.063933737
"588",-0.373483128
"589",-0.014928705
"590",-0.044781334
"591",-0.371006376
"592",-0.11602462
"593",-0.098711259
"594",-0.000789291
"595",0.17012512
"596",0.035399669
"597",-0.061927087
"598",-0.240998454
"599",-0.142058975
"600",-0.029035337
"601",0.188718193
"602",0.393486255
"603",-0.039771206
"604",0.116906755
"605",0.058992975
"606",0.102534764
"607",0.14532327
"608",0.034677499
"609",-0.090505845
"610",0.196853631
"611",0.332941049
"612",-0.028113253
"613",0.078885549
"614",0.104866975
"615",0.132086032
"616",-0.005836017
"617",-0.18867541
"618",-0.110491282
"619",-0.197887547
"620",0.068669909
"621",-0.096350081
"622",-0.206051178
"623",0.133379572
"624",-0.040591127
"625",-0.07199908
"626",-0.164386637
"627",0.008859866
"628",0.001458519
"629",-0.104455239
"630",-0.024493343
"631",-0.095469481
"632",-0.263023026
"633",-0.193382031
"634",-0.678244657
"635",0.017492288
"636",-0.161136038
"637",0.063347452
"638",0.098933928
"639",0.209684842
"640",0.026119345
"641",-0.098586447
"642",-0.150819904
"643",0.23987674
"644",0.09569382
"645",0.246728056
"646",-0.173365361
"647",0.234341138
"648",-0.159921057
"649",0.156298154
"650",0.04096555
"651",0.075254314
"652",-0.197810895
"653",-0.083630211
"654",0.036653393
"655",-0.061440117
"656",-0.208623476
"657",0.046214812
"658",-0.146564371
"659",0.057790273
"660",0.128869646
"661",-0.061535484
"662",0.06462025
"663",0.458134644
"664",-0.084527618
"665",0.285483234
"666",-0.022383577
"667",-0.033349282
"668",-0.187662966
"669",0.006386273
"670",-0.122035391
"671",-0.056936867
"672",0.247105234
"673",-0.005895979
"674",-0.062124855
"675",0.049539321
"676",-0.119953758
"677",-0.024381167
"678",-0.078581101
"679",-0.127669699
"680",0.005525702
"681",0.439118975
"682",0.11917209
"683",0.056610816
"684",-0.15354026
"685",0.057858818
"686",-0.032718308
"687",-0.057972915
"688",-0.11221183
"689",-0.130949146
"690",-0.084036715
"691",0.015791648
"692",-0.167166597
"693",-0.031579144
"694",-0.308649308
"695",-0.012276775
"696",0.39411258
"697",-0.14087332
"698",0.005272859
"699",-0.09620846
"700",0.035158508
"701",-0.063387281
"702",0.028697246
"703",0.012826674
"704",-0.073193199
"705",0.044069283
"706",-0.185092098
"707",0.062921994
"708",-0.148498065
"709",0.008477085
"710",-0.070322401
"711",0.287474864
"712",-0.241268045
"713",-0.141150839
"714",-0.136503226
"715",0.135385507
"716",-0.111272938
"717",-0.06444741
"718",-0.16236902
"719",0.007815474
"720",0.000694507
"721",-0.160271055
"722",0.22371053
"723",-0.2010153
"724",-0.139608867
"725",-0.199953682
"726",-0.071595675
"727",0.250764721
"728",-0.280876226
"729",0.133379691
"730",-0.125585444
"731",-0.156309015
"732",0.014332049
"733",0.000751727
"734",0.019299143
"735",0.184296601
"736",-0.044856674
"737",-0.0563047
"738",0.136041396
"739",-0.089014775
"740",-0.285096592
"741",-0.212715692
"742",-0.189890391
"743",-0.04486025
"744",-0.119001395
"745",-0.097284443
"746",-0.037113196
"747",0.076137536
"748",0.007038467
"749",-0.022117502
"750",-0.087358839
"751",-0.011608369
"752",0.235401385
"753",0.248074882
"754",0.226182573
"755",-0.085224993
"756",-0.192890055
"757",0.209266298
"758",-0.145466454
"759",0.078828924
"760",-0.161421186
"761",-0.170542008
"762",0.121029847
"763",0.091167443
"764",0.185305708
"765",-0.045748002
"766",0.059736245
"767",-0.025814659
"768",-0.227731473
"769",-0.316025145
"770",0.038989299
"771",0.169866198
"772",-0.063727266
"773",0.084092968
"774",0.027597421
"775",0.133846515
"776",-0.152567989
"777",-0.120839841
"778",0.360555761
"779",-0.125449187
"780",0.080983632
"781",0.023843997
"782",-0.153986938
"783",-0.143797047
"784",0.05346381
"785",0.120046251
"786",0.222406619
"787",0.099481457
"788",0.100939386
"789",0.149233096
"790",0.03391742
"791",0.132933252
"792",0.121307724
"793",-0.045857794
"794",1.108144873
"795",0.204472416
"796",0.045966738
"797",-0.004601843
"798",-0.117080814
"799",-0.209800727
"800",-0.463227994
"801",0.534986012
"802",0.036417239
"803",0.072409742
"804",0.206550353
"805",0.127765649
"806",-0.089111692
"807",-0.077085979
"808",-0.149229056
"809",-0.14692343
"810",-0.052940614
"811",0.083728068
"812",0.016265624
"813",0.246697658
"814",-0.231485195
"815",0.026314967
"816",0.170339101
"817",0.569088691
"818",0.018205278
"819",0.136712902
"820",0.08970105
"821",-0.09334994
"822",0.077513688
"823",-0.000879652
"824",-0.03376878
"825",0.344689124
"826",0.01810097
"827",0.081760638
"828",-0.009217984
"829",0.030329817
"830",-0.129658348
"831",-0.060522921
"832",0.295891159
"833",-0.035359628
"834",-0.439536995
"835",-0.084405787
"836",-0.011429078
"837",-0.16834212
"838",-0.039983875
"839",0.013141506
"840",0.030962222
"841",0.120850199
"842",0.107375019
"843",-0.00602854
"844",0.06659376
