"","x"
"1",0.033868447
"2",-0.039871439
"3",-0.054310903
"4",0.06947507
"5",0.127682224
"6",0.427957192
"7",-0.19513391
"8",-0.092050776
"9",0.2852384
"10",0.033067241
"11",0.147492781
"12",-0.02194415
"13",-0.053363547
"14",0.042485967
"15",0.006783739
"16",0.253420249
"17",-0.019098267
"18",0.049582735
"19",-0.016982421
"20",0.135832801
"21",-0.17427437
"22",0.114406958
"23",0.036532417
"24",0.126782909
"25",0.041766539
"26",0.115429893
"27",0.271891728
"28",-0.107503757
"29",0.04660739
"30",0.153732553
"31",0.043268099
"32",0.054889932
"33",0.141482011
"34",-0.033282384
"35",0.106432691
"36",0.007842317
"37",0.107624427
"38",-0.004370078
"39",0.070883885
"40",0.154621258
"41",0.171708837
"42",0.24525632
"43",0.011816278
"44",0.066676751
"45",-0.03527461
"46",0.001891628
"47",-0.048007235
"48",0.124024764
"49",0.049579754
"50",-0.065758035
"51",-0.110377416
"52",-0.186959788
"53",-0.171883687
"54",-0.305674896
"55",-0.281358942
"56",0.044237033
"57",-0.092792019
"58",0.170003906
"59",-0.027966127
"60",-0.127397403
"61",-0.066415831
"62",-0.039981231
"63",-0.286436066
"64",0.03098692
"65",0.006737366
"66",0.16113843
"67",0.174458995
"68",-0.024221644
"69",0.180876389
"70",0.006227031
"71",-0.104681775
"72",-0.052125439
"73",0.015789762
"74",0.016122475
"75",-0.057963178
"76",-0.032532081
"77",0.014765874
"78",0.003368989
"79",-0.20588778
"80",-0.104668066
"81",-0.060420439
"82",-0.254574761
"83",-0.012044892
"84",-0.029351339
"85",0.085203186
"86",-0.075571641
"87",0.153815165
"88",0.090296283
"89",0.052234545
"90",-0.212089404
"91",0.005579725
"92",-0.033390507
"93",0.026572838
"94",0.080015555
"95",0.108932987
"96",-0.061915144
"97",-0.025418028
"98",-0.043836698
"99",0.028328314
"100",-0.206558034
"101",-0.009611234
"102",0.112380877
"103",0.041275516
"104",-0.007475957
"105",0.013215438
"106",0.21446611
"107",-0.082934186
"108",-0.030534252
"109",0.123133555
"110",-0.145060226
"111",0.093825236
"112",-0.113463744
"113",0.022344127
"114",0.017614022
"115",0.148918048
"116",0.011221543
"117",-0.130641267
"118",-0.252528653
"119",0.06961371
"120",0.096507683
"121",-0.003375992
"122",-0.266344115
"123",0.288616076
"124",0.313344374
"125",0.001563683
"126",0.021659985
"127",-0.006099328
"128",-0.002868518
"129",-0.090298817
"130",-0.035651192
"131",-0.030023798
"132",-0.083731398
"133",-0.163358971
"134",0.235205069
"135",-0.152663872
"136",0.000444546
"137",0.103611961
"138",0.195132032
"139",-0.065708742
"140",0.093654767
"141",0.203746691
"142",0.022593871
"143",-0.299393162
"144",0.023525491
"145",-0.019852027
"146",-0.181412145
"147",0.092874065
"148",-0.043078408
"149",0.046449557
"150",0.000880137
"151",-0.182774529
"152",-0.124503776
"153",-0.034838304
"154",0.036078587
"155",0.110526338
"156",0.153750077
"157",0.137563124
"158",0.129769102
"159",-0.14596431
"160",0.020046607
"161",-0.014153108
"162",-0.067386374
"163",0.15856494
"164",-0.075025901
"165",-0.024846062
"166",0.110855475
"167",-0.038275346
"168",-0.002661929
"169",-0.081880257
"170",-0.060290918
"171",0.065411702
"172",-0.027042255
"173",-0.017617926
"174",0.09886767
"175",-0.011069164
"176",-0.141917095
"177",0.142461196
"178",0.012122288
"179",-0.090344653
"180",0.050027385
"181",0.057217851
"182",-0.070398554
"183",-0.055313215
"184",-0.048199996
"185",0.705604449
"186",-0.064371333
"187",0.176576391
"188",0.061321035
"189",-0.174348816
"190",-0.163406
"191",-0.124840006
"192",-0.29819189
"193",-0.020029291
"194",0.059192315
"195",0.004112378
"196",-0.124297664
"197",-0.026656613
"198",-0.036926731
"199",0.186668411
"200",-0.079019412
"201",-0.115312323
"202",0.115959778
"203",0.048878923
"204",0.041389719
"205",0.286894694
"206",0.071527973
"207",-0.169960245
"208",0.049074546
"209",0.207699314
"210",0.016296998
"211",-0.193271384
"212",-0.11781095
"213",0.174770489
"214",-0.042207941
"215",-0.057203099
"216",-0.139006957
"217",0.228713885
"218",-0.117995307
"219",0.058698669
"220",0.01155664
"221",-0.061629042
"222",-0.017514333
"223",0.276570454
"224",0.037156358
"225",0.034444109
"226",0.001192942
"227",0.030916706
"228",0.140843764
"229",0.038830414
"230",0.057943121
"231",0.171401873
"232",0.010266796
"233",0.386071816
"234",-0.093457565
"235",0.26664032
"236",0.078956381
"237",0.024524823
"238",-0.183842048
"239",0.009731188
"240",-0.211240038
"241",-0.167232797
"242",-0.112831041
"243",-0.06670706
"244",0.067871228
"245",-0.084412321
"246",0.006307617
"247",0.031794205
"248",0.240757123
"249",-0.146503016
"250",0.012670651
"251",0.109419957
"252",-0.059766993
"253",-0.032851204
"254",-0.001210079
"255",-0.099729046
"256",-0.012145624
"257",0.043418065
"258",0.04798831
"259",0.012986198
"260",0.257717386
"261",-0.075470731
"262",0.11178793
"263",0.039195076
"264",-0.094976768
"265",0.010713592
"266",0.041340724
"267",0.083352461
"268",0.004720107
"269",-0.011661634
"270",0.468460694
"271",0.105795279
"272",0.085066691
"273",0.132007971
"274",-0.096095785
"275",0.117021218
"276",0.150105849
"277",1.503154174
"278",-0.076425418
"279",-0.111944243
"280",-0.503462002
"281",-0.126478538
"282",0.021540776
"283",-0.186781391
"284",-0.023478493
"285",-0.027224168
"286",0.112028971
"287",0.060003176
"288",-0.131277308
"289",0.028269306
"290",0.029894367
"291",0.112962857
"292",-0.098520264
"293",-0.13830249
"294",0.058906212
